City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
638,Hayden,US,84.49,clear sky,47.766,-116.7866,Triple Play Resort Hotel & Suites
640,Puerto Palomas,MX,82.87,overcast clouds,31.7667,-107.6167,Hotel San Carlos
645,Āmlāgora,IN,79.14,moderate rain,22.8333,87.3333,"Mohul Guest House, Garhbeta"
647,Quang Ngai,VN,75.74,overcast clouds,15.1167,108.8,Central Hotel
649,Ugoofaaru,MV,81.19,overcast clouds,5.6667,73.0,Ungoofaaru Inn
650,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
657,Nabire,ID,75.11,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
660,Kresek,ID,82.56,few clouds,-6.1314,106.3797,rumah alya
663,Salinópolis,BR,85.32,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
667,Jizan,SA,85.14,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
668,Warri,NG,79.34,overcast clouds,5.5167,5.75,GT Guesthouse
678,Kirakira,SB,77.74,overcast clouds,-10.4544,161.9205,SanBiz Lodge
684,Bosaso,SO,88.99,overcast clouds,11.2842,49.1816,Red Sea Hotel
